JOB PROFILE,TOOLS
"practice director, mergers",well also need to see this on your resume: * strong business consulting experience/ business management / business development in the enterprise space * mba or graduate degree in a scie
field implementation/support specialist,"field service, implementation, quality assurance, proje"
principal architect -,principal architect - continuous delivery
hadoop big data,hadoop data analyst-hadoop data analyst relevant experience (in yrs) 4 to 5 yrs with minimum two years of relevant experience technical/functional skills \uf020 \uf020 \uf020 \uf020 big data analytics \uf020 \uf020
senior analyst /,"analyst, development, hadoop, laptop, manager, modeling, networks, python, release, research, sas, sql"
business systems analyst,business systems analyst ii - servicing system
quality engineer (qe),"development, engineer, java, javascript, oop, quality, test, testing, web"
business development executive,"account executive; it professional services; microsoft technologies; c-level solutions; software development projects; new revenue; custom applications', 'business development; account executive; custom appliactions; it professional services; microsoft; software development projects; c-level; selling', 'business development, account management, it staffing / services, customer relationship', 'business development, account management, it staffing / services, customer relationship', 'business development; account executive; custom appliactions; it professional services; microsoft; software development projects; c-level; selling', 'account executive; it professional services; microsoft technologies; c-level solutions; software development projects; new revenue; custom applications; business development"
java/j2ee architect  ,kendo ui & spring & freemarker & jetty
system engineer ii,"red hat, itil"
loan collateral vault,"loan collateral vault specialist job in irving, texas"
sql database administrator,"sql database administrator iii', 'sql database administrator iii"
microstrategy administrator/developer  ,"microstrategy, administration, development, visual insight"
mq admin  ,"mq,acess management,license management,backup,recovery"
salesforce.com consultant job,"salesforce.com consultant job in plano, tx"
"oracle atg consultant,",oracle atg
salesforce/crm scrum master,"scrum, agile, csm, safe, pmi-acp, saleforce"
"ui developer, richardson,","angular js, html5, css3, xml / json,js, jquery"
it developer  ,"analysis, application, applications, architecture, cognos, database, data modeling, developer, development, html, ibm, informatica, it, java, javascript, modeling, olap, oltp, oracle, performance, software, sql, systems, teradata, unix, web, xml"
application support dba,"agile, capacity planning, database, database administration, data modeling, dba, development, management, modeling, oracle, pl/sql, programming, sas, scheduling, scrum, sql, sql server, testing"
user experience designer,"adobe, agile, development, http, lifecycle, management, testing, ux"
installation representative  ,"call center, customer service, manager, pc, sales, scheduling, technician"
senior field technician,"technician, technical support"
data warehouse integration,"access, analysis, architect, architecture, business intelligence, data analysis, data warehouse, developer, development, it, management, project, quality, quality assurance, scripts, software, specification, sql, sql server, systems, test"
service virtualization specialist,"virtualization, lisa virtualization, ca lisa, itko"
php/sql developer  ,php/sql developer
documentation manager  ,"management, leadership, editorial, style guide, training development"
systems engineer -,identity manager (idm)
noc operator  ,noc or network support and dns or dhcp
php full stack,"php, magento, html5, css, svn, xml, json, lamp, seo"
"fe developer (javascript,","mvc javascript framework, reactjs, backbonejs, emberjs, html5, css3, javascript, agile"
radar signal processing,"aerospace, algorithm, algorithms, development, dsp, embedded, engineer, engineering, engineers, java, manager, mathematical, matlab, performance, physics, programming, project, python, test', 'algorithm, algorithms, development, dsp, embedded, engineering, engineers, java, mathematical, matlab, performance, physics, programming, project, python, test"
sr. storage administrator,"aix, brocade, cisco, ibm, programming, project, shell scripting"
consulting - netsuite,"telecommuting not available travel not required', 'telecommuting not available travel not required', 'telecommuting not available travel not required"
data analyst (mdm),"informatica mdm,pharma,ms office, sql"
"business consultant, collaboration","well also need to see this on your resume: * strong business consulting experience in the enterprise space specifically around unified communications, conferencing services, and collaboratio"
oracle big data/dba,"pl/sql, oracle, apache spark, database administration"
team lead -,"desktop, lead, help desk, citrix, windows server, ms windows, vpn, scriptinng"
peoplesoft testing consultant,peoplesoft testing
loan payoff specialist,"loan payoff specialist - irving, tx"
atg technical lead,"atg, endeca ,', 'atg commerce, atg platform, atg products, custom catalogues, price lists, promotions, process development, publishing, endeca', 'oracle , java script, angular js, atg commerce, atg platform, atg products, custom catalogues, price lists, promotions, process development, publishing, endeca', 'atg commerce, atg', 'atg commerce, atg platform, atg products, custom catalogues, price lists, promotions, process development, publishing, endeca"
test automation/load testing,"selenium, load testing, automated testing, loadrunner, java, sap application, ppm application, qa', 'agile, automated, business requirements, consulting, development, java, oracle, performance testing, programming, project, qa, quality assurance, quality center, sap, scheduling, scripts, scrum, sql, sql server, testing, vbscript, xml"
statistician    ,"sas, r, and/or s-plus., biostatiscian, fda"
information security operations,information security operations analyst
payment processor job,"payment processor job in irving, tx"
applications data analyst,"data modeling, host systems, sas, r, tableau, db2, hyperion interactive reporting, obiee, oracle, ms office"
lead enterprise software,lead enterprise software developer - soa - tibco - integration
principal - enterprise,"oracle atg', 'networking domain', 'agile plm"
sql analyst  ,"sql t-sql ""data warehouse""', 'sql server, tsql, ssis, batch jobs"
full stack java,"apache, applications, computer, consultant, developer, development, java, management, materials, metrics, project, project management, quality, software, system, systems, testing, web"
xml developer -,"xml development, risk, sql, javascript (or any other structured programming language), uat, finance or banking"
etl tester --,"etl tester, quality assurance. health care, datawarehouse,sql,oracle,linux,informatica, business reporying tools"
red hat linux,"red hat, linux, unix, rhel', 'redhat linux, redhat satellite v6 and puppet"
communication lab qa,"communication lab qa lead job in fort worth, tx!"
data warehouse architect,"data architect, olap, data warehouse, etl tools,sql"
lead systems analyst:,"""systems analysis"", ""fixed income"", ""asset allocation"", pl/sql"
senior program manager,"medical device or diagnostic industry;program manager role; product life cycle management ;', 'program manager, project manager, construction, change management', 'program/project management, proven track-record, technical background, pmp certified', 'see job overview.', 'technical program manager,retail experience,agile."
senior / principal,aws spark hadoop (hdfs) s3 scala play akka java linux rdbms object store sql hadoop mpp nosql document.
network administrator  ,"networks, windows server, storage', 'lans, wans, microsoft certified system engineer"
siebel crm consultant,siebel crm consultant
